"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","TONNAGE_T","VA_POPANNEE","RATIO_KG_HAB"
"2009","27","Bourgogne-Franche-Comté","70","Haute-Saône","08B","Emballages, journaux-magazines",17974.26,239194,75.15
"2009","27","Bourgogne-Franche-Comté","70","Haute-Saône","08C","Verre",10183.92,239194,42.58
"2009","27","Bourgogne-Franche-Comté","71","Saône-et-Loire","08A","Ordures ménagères résiduelles",128157.24,554720,231.03
"2009","27","Bourgogne-Franche-Comté","71","Saône-et-Loire","08B","Emballages, journaux-magazines",28471,554720,51.32
"2009","27","Bourgogne-Franche-Comté","71","Saône-et-Loire","08C","Verre",21239.52,554720,38.29
"2009","27","Bourgogne-Franche-Comté","71","Saône-et-Loire","08D","Déchets de produits alimentaires",3170,554720,5.71
"2009","27","Bourgogne-Franche-Comté","89","Yonne","08A","Ordures ménagères résiduelles",106406.5,343377,309.88
"2009","27","Bourgogne-Franche-Comté","89","Yonne","08B","Emballages, journaux-magazines",12302.99,343377,35.83
"2009","27","Bourgogne-Franche-Comté","89","Yonne","08C","Verre",11619.4,343377,33.84
"2009","27","Bourgogne-Franche-Comté","90","Territoire-de-Belfort","08A","Ordures ménagères résiduelles",41201.92,142461,289.22
"2009","27","Bourgogne-Franche-Comté","90","Territoire-de-Belfort","08B","Emballages, journaux-magazines",5928.89,142461,41.62
"2009","27","Bourgogne-Franche-Comté","90","Territoire-de-Belfort","08C","Verre",4302.17,142461,30.2
"2009","53","Bretagne","22","Cotes-d'Armor","08A","Ordures ménagères résiduelles",158002.93,587519,268.93
"2009","53","Bretagne","22","Cotes-d'Armor","08B","Emballages, journaux-magazines",26722.68,587519,45.48
"2009","53","Bretagne","22","Cotes-d'Armor","08C","Verre",29234.81,587519,49.76
"2009","53","Bretagne","29","Finistère","08A","Ordures ménagères résiduelles",248509.99,893914,278
"2009","53","Bretagne","29","Finistère","08B","Emballages, journaux-magazines",47470.05,893914,53.1
"2009","53","Bretagne","29","Finistère","08C","Verre",37543.42,893914,42
"2009","53","Bretagne","35","Ille-et-Vilaine","08A","Ordures ménagères résiduelles",221068.38,977449,226.17
"2009","53","Bretagne","35","Ille-et-Vilaine","08B","Emballages, journaux-magazines",52087.98,977449,53.29
"2009","53","Bretagne","35","Ille-et-Vilaine","08C","Verre",38965.34,977449,39.86
"2009","53","Bretagne","56","Morbihan","08A","Ordures ménagères résiduelles",181685.29,716182,253.69
"2009","53","Bretagne","56","Morbihan","08B","Emballages, journaux-magazines",38640.18,716182,53.95
"2009","53","Bretagne","56","Morbihan","08C","Verre",37142.41,716182,51.86
"2009","53","Bretagne","56","Morbihan","08D","Déchets de produits alimentaires",7463,716182,10.42
"2009","24","Centre-Val de Loire","18","Cher","08A","Ordures ménagères résiduelles",81841.72,311022,263.14
"2009","24","Centre-Val de Loire","18","Cher","08B","Emballages, journaux-magazines",15611.79,311022,50.2
"2009","24","Centre-Val de Loire","18","Cher","08C","Verre",12195.97,311022,39.21
"2009","24","Centre-Val de Loire","28","Eure-et-Loir","08A","Ordures ménagères résiduelles",117834.14,425502,276.93
"2009","24","Centre-Val de Loire","28","Eure-et-Loir","08B","Emballages, journaux-magazines",17912.02,425502,42.1
"2009","24","Centre-Val de Loire","28","Eure-et-Loir","08C","Verre",13913.48,425502,32.7
"2009","24","Centre-Val de Loire","36","Indre","08A","Ordures ménagères résiduelles",49930.65,232268,214.97
"2009","24","Centre-Val de Loire","36","Indre","08B","Emballages, journaux-magazines",10315.58,232268,44.41
"2009","24","Centre-Val de Loire","36","Indre","08C","Verre",10060.51,232268,43.31
"2009","24","Centre-Val de Loire","37","Indre-et-Loire","08A","Ordures ménagères résiduelles",148239.23,588420,251.93
"2009","24","Centre-Val de Loire","37","Indre-et-Loire","08B","Emballages, journaux-magazines",31148.46,588420,52.94
"2009","24","Centre-Val de Loire","37","Indre-et-Loire","08C","Verre",21127.24,588420,35.91
"2009","24","Centre-Val de Loire","41","Loir-et-Cher","08A","Ordures ménagères résiduelles",82919.77,327868,252.91
"2009","24","Centre-Val de Loire","41","Loir-et-Cher","08B","Emballages, journaux-magazines",13253.93,327868,40.42
"2009","24","Centre-Val de Loire","41","Loir-et-Cher","08C","Verre",12536,327868,38.23
"2009","24","Centre-Val de Loire","45","Loiret","08A","Ordures ménagères résiduelles",171335.1,653510,262.18
"2009","24","Centre-Val de Loire","45","Loiret","08B","Emballages, journaux-magazines",24839.55,653510,38.01
"2009","24","Centre-Val de Loire","45","Loiret","08C","Verre",18738.77,653510,28.67
"2009","94","Corse","2A","Corse-du-Sud","08A","Ordures ménagères résiduelles",72034.68,141330,509.69
"2009","94","Corse","2A","Corse-du-Sud","08B","Emballages, journaux-magazines",1691.17,141330,11.97
"2009","94","Corse","2A","Corse-du-Sud","08C","Verre",1576.4,141330,11.15
"2009","94","Corse","2B","Haute-Corse","08A","Ordures ménagères résiduelles",72086.76,164344,438.63
"2009","94","Corse","2B","Haute-Corse","08B","Emballages, journaux-magazines",1935.68,164344,11.78
"2009","94","Corse","2B","Haute-Corse","08C","Verre",2534.83,164344,15.42
"2009","97","DROM-COM","971","Guadeloupe","08A","Ordures ménagères résiduelles",171983,401554,428.29
"2009","97","DROM-COM","971","Guadeloupe","08B","Emballages, journaux-magazines",7876.58,401554,19.62
"2009","97","DROM-COM","971","Guadeloupe","08C","Verre",1563.77,401554,3.89
"2009","97","DROM-COM","971","Guadeloupe","08D","Déchets de produits alimentaires",3.69,401554,0.01
"2009","97","DROM-COM","972","Martinique","08A","Ordures ménagères résiduelles",130032.95,396404,328.03
