"code_sous-categorie","pourcentage_bennes_TV","IC_pourcentage_bennes_TV","pourcentage_bennes_metaux","IC_pourcentage_bennes_metaux","pourcentage_bennes_bois","IC_pourcentage_bennes_bois","pourcentage_bennes_EA","IC_pourcentage_bennes_EA","tonnage_bennes_TV","IC_tonnage_bennes_TV","tonnage_bennes_metaux","IC_tonnage_bennes_metaux","tonnage_bennes_bois","IC_tonnage_bennes_bois","tonnage_bennes_EA","IC_tonnage_bennes_EA","ratio_bennes_TV","IC_ratio_bennes_TV","ratio_bennes_metaux","IC_ratio_bennes_metaux","ratio_bennes_bois"," IC_ratio_bennes_bois "," ratio_bennes_EA ","IC_ratio_bennes_EA"
"08.02","0,3%","0,2%","0,1%","0,1%","10,0%","2,9%","0,1%","0,1%",9104,4557,"270","364",111793,32938,"711","820",0.1,0.1,"0,0","0,0",1.7,0.5,"0,01","0,01"
"08.03","0,4%","0,4%","0,0%","0,0%","4,3%","1,5%","0,2%","0,2%",10948,8160,"105","142",48290,17285,"1 465","1 702",0.2,0.1,"0,0","0,0",0.7,0.26,"0,02","0,03"
"08.04","0,1%","0,0%","0,0%","0,0%","1,3%","0,5%","0,1%","0,2%",3235,1563,"117","125",14153,5238,"1 234","2 166",0,0,"0,0","0,0",0.2,0.08,"0,02","0,03"
"08.05","0,0%","0,0%","0,0%","0,0%","0,1%","0,1%","0,0%","0,1%",491,267,"3","5",1272,1285,"460","662",0,0,"0,0","0,0",0,0.02,"0,01","0,01"
"08.06","3,4%","0,4%","0,4%","0,2%","15,8%","3,9%","44,9%","6,7%",98684,21498,"1 686","988",176645,44254,"435 911","64 630",1.5,0.3,"0,0","0,0",2.7,0.67,"6,59","0,98"
"08.07","0,1%","0,0%","0,0%","0,0%","0,2%","0,3%","0,0%","0,0%",1614,866,"7","10",2184,3520,"346","448",0,0,"0,0","0,0",0,0.05,"0,01","0,01"
"08.08","6,4%","0,9%","0,1%","0,1%","32,8%","3,6%","1,3%","0,9%",183642,25093,"373","308",367722,40686,"12 360","8 606",2.8,0.4,"0,0","0,0",5.6,0.62,"0,19","0,13"
"08.09","0,5%","0,1%","0,1%","0,1%","1,6%","0,8%","0,5%","0,3%",12976,3254,"566","446",17478,8658,"5 141","2 693",0.2,0,"0,0","0,0",0.3,0.13,"0,08","0,04"
"08.10","1,1%","0,3%","0,1%","0,1%","6,3%","1,6%","19,7%","6,5%",30673,7759,"505","554",70905,17615,"191 501","62 708",0.5,0.1,"0,0","0,0",1.1,0.27,"2,90","0,95"
"08.11","1,3%","0,3%","0,0%","0,0%","6,4%","1,8%","1,5%","1,4%",38083,9670,"163","201",71772,20165,"14 418","13 277",0.6,0.1,"0,0","0,0",1.1,0.31,"0,22","0,20"
"09.01","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",1583,1227,"14","13",38,38,"24","33",0,0,"0,0","0,0",0,0,"0,00","0,00"
"09.02","0,5%","0,3%","0,0%","0,0%","0,0%","0,0%","0,4%","0,2%",13398,5989,"90","152",292,236,"3 701","2 215",0.2,0.1,"0,0","0,0",0,0,"0,06","0,03"
"09.03","0,4%","0,2%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",11527,3537,"20","18",38,38,"55","57",0.2,0.1,"0,0","0,0",0,0,"0,00","0,00"
"09.04","1,6%","0,7%","0,0%","0,0%","0,1%","0,1%","0,1%","0,1%",45841,14641,"169","208",786,816,"806","705",0.7,0.2,"0,0","0,0",0,0.01,"0,01","0,01"
"09.05","1,1%","0,4%","0,0%","0,0%","0,0%","0,1%","0,2%","0,2%",31026,9278,"72","74",384,594,"2 257","1 993",0.5,0.1,"0,0","0,0",0,0.01,"0,03","0,03"
"10.01","0,2%","0,1%","6,8%","1,5%","0,0%","0,0%","0,1%","0,1%",4997,1585,"32 886","7 412",313,528,"847","1 277",0.1,0,"0,5","0,1",0,0.01,"0,01","0,02"
