"code_sous-categorie","pourcentage_OMR","IC_pourcentage_OMR","pourcentage_CSM","IC_pourcentage_CSM","pourcentage_CSB","IC_pourcentage_CSB","tonnage_OMR","IC_tonnage_OMR","tonnage_CSM","IC_tonnage_CSM","tonnage_CSB","IC_tonnage_CSB","ratio_OMR","IC_ratio_OMR","ratio_CSM","IC_ratio_CSM","ratio_CSB","IC_ratio_CSB"
"07.12","0,1%","0,05%","0,1%","0,09%","0,0%","0,00%",14665,6983,4621,3234,0,0,0.22,0.11,"0,07","0,05","-","-"
"07.13","0,0%","0,03%","0,0%","0,02%","0,0%","0,00%",5254,4928,498,594,0,0,0.08,0.07,"0,01","0,01","-","-"
"07.14","1,5%","0,22%","2,0%","0,37%","0,0%","0,01%",217448,32113,69292,12920,33,29,3.29,0.49,"1,05","0,20","0,00","0,00"
"08.01","0,3%","0,07%","0,3%","0,10%","0,0%","0,02%",40628,10979,10223,3563,36,34,0.62,0.17,"0,15","0,05","0,00","0,00"
"08.02","0,0%","0,01%","0,0%","0,02%","0,0%","0,01%",1186,1493,360,706,8,12,0.02,0.02,"0,01","0,01","0,00","0,00"
"08.03","0,0%","0,01%","0,0%","0,04%","0,0%","0,01%",1531,1269,941,1528,8,12,0.02,0.02,"0,01","0,02","0,00","0,00"
"08.04","0,7%","0,18%","0,5%","0,28%","0,0%","0,04%",98572,26467,16944,9718,104,96,1.49,0.4,"0,26","0,15","0,00","0,00"
"09.01","4,7%","0,66%","1,8%","0,69%","0,3%","0,48%",699571,97068,64112,24241,769,1061,10.6,1.47,"0,97","0,37","0,01","0,02"
"09.02","0,3%","0,12%","0,1%","0,07%","0,0%","0,00%",39642,17356,2104,2300,4,7,0.6,0.26,"0,03","0,03","0,00","0,00"
"10.01","0,1%","0,11%","0,3%","0,25%","0,0%","0,00%",17735,15630,10260,8582,0,0,0.27,0.24,"0,16","0,13","-","-"
"10.02","1,2%","0,22%","2,7%","0,66%","0,0%","0,03%",178647,32411,93375,23022,46,65,2.71,0.49,"1,41","0,35","0,00","0,00"
"10.03","0,6%","0,12%","0,5%","0,11%","0,0%","0,01%",82936,18047,18867,3717,16,18,1.26,0.27,"0,29","0,06","0,00","0,00"
"10.04","0,6%","0,14%","0,8%","0,27%","0,1%","0,14%",92317,20409,26613,9328,215,302,1.4,0.31,"0,40","0,14","0,00","0,00"
"10.05","0,5%","0,13%","0,4%","0,19%","0,0%","0,01%",75637,19513,15046,6598,19,24,1.15,0.3,"0,23","0,10","0,00","0,00"
"10.06","0,3%","0,11%","0,1%","0,06%","0,0%","0,00%",40981,16888,3349,2109,3,5,0.62,0.26,"0,05","0,03","0,00","0,00"
"10.07","0,0%","0,01%","0,0%","0,00%","0,0%","0,00%",813,1135,0,0,0,0,0.01,0.02,"-","-","-","-"
"10.08","0,0%","0,03%","0,0%","0,05%","0,0%","0,00%",4004,4582,824,1616,0,0,0.06,0.07,"0,01","0,02","-","-"
"11.01","1,5%","0,35%","0,9%","0,37%","0,1%","0,05%",227604,51320,31385,13062,158,109,3.45,0.78,"0,48","0,20","0,00","0,00"
"12.01","0,1%","0,09%","0,0%","0,00%","0,0%","0,00%",17806,12879,0,0,0,0,0.27,0.2,"-","-","-","-"
"12.02","2,1%","0,47%","0,7%","0,97%","0,1%","0,10%",303036,69546,26100,33971,115,212,4.59,1.05,"0,40","0,51","0,00","0,00"
"13.01","0,7%","0,16%","0,5%","0,17%","0,0%","0,01%",97698,23904,15982,6075,23,32,1.48,0.36,"0,24","0,09","0,00","0,00"
"13.02","0,0%","0,01%","0,0%","0,00%","0,0%","0,00%",792,1184,79,124,2,3,0.01,0.02,"0,00","0,00","0,00","0,00"
"13.03","0,0%","0,03%","0,0%","0,02%","0,0%","0,00%",5178,3691,352,547,2,3,0.08,0.06,"0,01","0,01","0,00","0,00"
"13.04","0,0%","0,02%","0,0%","0,04%","0,0%","0,00%",3790,2389,777,1272,2,3,0.06,0.04,"0,01","0,02","0,00","0,00"
"13.05","0,1%","0,06%","0,0%","0,03%","0,0%","0,00%",17548,8379,1355,1203,2,3,0.27,0.13,"0,02","0,02","0,00","0,00"
"13.06","0,0%","0,02%","0,0%","0,00%","0,0%","0,00%",2874,3416,0,0,2,3,0.04,0.05,"-","-","0,00","0,00"
"13.07","0,0%","0,02%","0,0%","0,02%","0,0%","0,00%",1879,2687,334,654,2,3,0.03,0.04,"0,01","0,01","0,00","0,00"
"13.08","0,1%","0,06%","0,0%","0,02%","0,0%","0,00%",9693,9153,269,527,2,3,0.15,0.14,"0,00","0,01","0,00","0,00"
"13.09","0,2%","0,10%","0,2%","0,13%","0,0%","0,00%",23530,14799,6161,4681,2,3,0.36,0.22,"0,09","0,07","0,00","0,00"
"13.10","0,2%","0,11%","0,0%","0,03%","0,0%","0,01%",23807,15555,1089,1121,7,12,0.36,0.24,"0,02","0,02","0,00","0,00"
"14.01",,,"0,8%","0,17%",,,,,28336,5843,,,,,"0,43","0,09","-",
"14.02",,,"0,8%","0,18%",,,,,28270,6437,,,,,"0,43","0,10","-",
